schema,table,column,position,data_type,max_length,precision,scale,nullable,default,comment,key_type,fk_table,fk_column
master,addresses,address_id,1,integer,,32,,NO,nextval('master.addresses_address_id_seq'::regclass),,PK,,
master,addresses,org_id,2,uuid,,,,NO,,,FK,organizations,org_id
master,addresses,entity_type,3,text,,,,NO,,,,,
master,addresses,entity_id,4,integer,,32,,NO,,,,,
master,addresses,address_type,5,text,,,,NO,,,,,
master,addresses,address_line1,6,text,,,,NO,,,,,
master,addresses,address_line2,7,text,,,,YES,,,,,
master,addresses,landmark,8,text,,,,YES,,,,,
master,addresses,city,9,text,,,,NO,,,,,
master,addresses,state_code,10,text,,,,NO,,,,,
master,addresses,state_name,11,text,,,,NO,,,,,
master,addresses,country,12,text,,,,YES,'India'::text,,,,
master,addresses,pincode,13,text,,,,NO,,,,,
master,addresses,latitude,14,numeric,,10,8,YES,,,,,
master,addresses,longitude,15,numeric,,11,8,YES,,,,,
master,addresses,google_plus_code,16,text,,,,YES,,,,,
master,addresses,contact_person,17,text,,,,YES,,,,,
master,addresses,contact_number,18,text,,,,YES,,,,,
master,addresses,contact_email,19,text,,,,YES,,,,,
master,addresses,delivery_instructions,20,text,,,,YES,,,,,
master,addresses,is_default,21,boolean,,,,YES,false,,,,
master,addresses,is_active,22,boolean,,,,YES,true,,,,
master,addresses,created_at,23,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,addresses,updated_at,24,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,branches,branch_id,1,integer,,32,,YES,,,,,
master,branches,org_id,2,uuid,,,,YES,,,,,
master,branches,branch_code,3,text,,,,YES,,,,,
master,branches,branch_name,4,text,,,,YES,,,,,
master,branches,branch_type,5,text,,,,YES,,,,,
master,branches,address,6,jsonb,,,,YES,,,,,
master,branches,google_maps_link,7,text,,,,YES,,,,,
master,branches,latitude,8,numeric,,10,8,YES,,,,,
master,branches,longitude,9,numeric,,11,8,YES,,,,,
master,branches,branch_phone,10,text,,,,YES,,,,,
master,branches,branch_email,11,text,,,,YES,,,,,
master,branches,branch_manager_id,12,integer,,32,,YES,,,,,
master,branches,branch_gst_number,13,text,,,,YES,,,,,
master,branches,drug_license_number,14,text,,,,YES,,,,,
master,branches,drug_license_validity,15,date,,,,YES,,,,,
master,branches,is_billing_location,16,boolean,,,,YES,,,,,
master,branches,is_shipping_location,17,boolean,,,,YES,,,,,
master,branches,is_default_location,18,boolean,,,,YES,,,,,
master,branches,storage_capacity,19,jsonb,,,,YES,,,,,
master,branches,working_hours,20,jsonb,,,,YES,,,,,
